MeetID,Name,Sex,Division,BodyweightKg,WeightClassKg,WeightClass,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Place,Wilks
7015,Nathalie Sanchez,Female,R-JR,47,47,1: 47kg,92.5,50,122.5,265,1,356.4
7015,Sarah Cruz-Ortiz,Female,R-JR,46.1,47,1: 47kg,80,50,127.5,257.5,2,351.13
7015,Jennifer Lotz,Female,R-JR,46.1,47,1: 47kg,92.5,52.5,110,255,3,347.72
7015,Lisa Rothman,Female,R-O,46.5,47,1: 47kg,122.5,65,147.5,335,1,454.01
7015,Heather Connor,Female,R-O,44.5,47,1: 47kg,117.5,60,150,327.5,2,457.65
7015,Lisa Randazzo,Female,R-O,46.1,47,1: 47kg,115,60,130,305,3,415.9
7015,Emma Ife,Female,R-O,45.8,47,1: 47kg,115,57.5,117.5,290,4,397.27
7015,Pamela Sampson,Female,R-O,46.4,47,1: 47kg,102.5,55,120,277.5,5,376.66
7015,Kelley Sherwin,Female,R-O,45.7,47,1: 47kg,90,55,130,275,6,377.3
7015,Leah DeCesare,Female,R-O,45.5,47,1: 47kg,100,57.5,100,257.5,7,354.37
7015,Maribeth Lino-Coyle,Female,R-O,45.8,47,1: 47kg,97.5,50,110,257.5,8,352.75
7015,Samantha Reynolds,Female,R-O,45.9,47,1: 47kg,90,50,117.5,257.5,9,352.21
7015,Susan Elwyn,Female,R-O,46.5,47,1: 47kg,88,45,118,251,10,340.17
7015,Shyami Murphy,Female,R-O,46.4,47,1: 47kg,95,42.5,105,242.5,11,329.16
7015,Rebecca Kukla,Female,R-O,46.4,47,1: 47kg,85,42.5,107.5,235,12,318.98
7015,Amy Salib,Female,R-O,45.1,47,1: 47kg,80,47.5,105,232.5,13,321.93
7015,Lisa Rothman,Female,R-M1a,46.5,47,1: 47kg,122.5,65,147.5,335,1,454.01
7015,Kelley Sherwin,Female,R-M1a,45.7,47,1: 47kg,90,55,130,275,2,377.3
7015,Shyami Murphy,Female,R-M1b,46.4,47,1: 47kg,95,42.5,105,242.5,1,329.16
7015,Rebecca Kukla,Female,R-M1b,46.4,47,1: 47kg,85,42.5,107.5,235,2,318.98
7015,Susan Elwyn,Female,R-M3b,46.5,47,1: 47kg,88,45,118,251,1,340.17
7021,Alyssa Mirasol,Female,R-JR,47,47,1: 47kg,110,62.5,140,312.5,1,420.28
7021,Marilu Solares,Female,R-JR,46.3,47,1: 47kg,102.5,52.5,135,290,2,394.23
7021,Nicole Nguyen,Female,R-JR,45.9,47,1: 47kg,107.5,47.5,117.5,272.5,3,372.73
7021,Gabrielle Polanco,Female,R-JR,46.5,47,1: 47kg,95,52.5,125,272.5,4,369.31
7021,Tam Nguyen,Female,R-JR,44.6,47,1: 47kg,87.5,52.5,117.5,257.5,5,359.28
7021,Lisa Rothman,Female,R-M1,46.5,47,1: 47kg,120,65,140,325,1,440.46
7021,Lisa Randazzo,Female,R-M1,46.5,47,1: 47kg,117.5,60,132.5,310,2,420.13
7021,Kelley Sherwin,Female,R-M1,46.4,47,1: 47kg,90,60,125,275,3,373.27
7021,Shyami Murphy,Female,R-M2,46.2,47,1: 47kg,92.5,42.5,110,245,1,333.57
